#Uploaded_variation	Location	Allele	Gene	Feature	Feature_type	Consequence	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	Extra
.	1:89047264-89047265	-	MGP_AJ_G0016277	MGP_AJ_T0021232.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Col6a3;BIOTYPE=protein_coding;REF_ALLELE=G;UPLOADED_ALLELE=G/-;DISTANCE=4934;STRAND=-1;SYMBOL_SOURCE=MGI
.	1:89047264-89047265	-	MGP_AJ_G0016277	MGP_AJ_T0021233.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Col6a3;BIOTYPE=protein_coding;REF_ALLELE=G;UPLOADED_ALLELE=G/-;DISTANCE=4934;STRAND=-1;SYMBOL_SOURCE=MGI
.	1:89047264-89047265	-	MGP_AJ_G0016277	MGP_AJ_T0021234.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Col6a3;BIOTYPE=protein_coding;REF_ALLELE=G;UPLOADED_ALLELE=G/-;DISTANCE=4953;STRAND=-1;SYMBOL_SOURCE=MGI
.	1:89047264-89047265	-	MGP_AJ_G0016277	MGP_AJ_T0021238.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Col6a3;BIOTYPE=protein_coding;REF_ALLELE=G;UPLOADED_ALLELE=G/-;DISTANCE=4977;STRAND=-1;SYMBOL_SOURCE=MGI
.	1:89047264-89047265	-	MGP_AJ_G0016277	MGP_AJ_T0021239.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Col6a3;BIOTYPE=protein_coding;REF_ALLELE=G;UPLOADED_ALLELE=G/-;DISTANCE=4934;STRAND=-1;SYMBOL_SOURCE=MGI
.	10:23530576-23530577	-	MGP_AJ_G0017079	MGP_AJ_T0024816.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Samd3;BIOTYPE=protein_coding;REF_ALLELE=T;UPLOADED_ALLELE=T/-;DISTANCE=1221;STRAND=1;SYMBOL_SOURCE=MGI
.	10:23530576-23530577	-	MGP_AJ_G0017079	MGP_AJ_T0024817.1	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Samd3;BIOTYPE=protein_coding;REF_ALLELE=T;UPLOADED_ALLELE=T/-;DISTANCE=1221;STRAND=1;SYMBOL_SOURCE=MGI
.	11:29102852-29102853	-	MGP_AJ_G0018098	MGP_AJ_T0028406.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Nsg2;BIOTYPE=protein_coding;REF_ALLELE=T;UPLOADED_ALLELE=T/-;DISTANCE=562;STRAND=1;SYMBOL_SOURCE=MGI
.	11:84850158-84850159	-	MGP_AJ_G0018859	MGP_AJ_T0031401.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Vmp1;BIOTYPE=protein_coding;INTRON=1/11;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:84850158-84850159	-	MGP_AJ_G0018859	MGP_AJ_T0031407.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Vmp1;BIOTYPE=processed_transcript;INTRON=1/2;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:84850158-84850159	-	MGP_AJ_G0018859	MGP_AJ_T0031408.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Vmp1;BIOTYPE=protein_coding;INTRON=1/2;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:96669478-96669479	-	MGP_AJ_G0019021	MGP_AJ_T0032055.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Neurod2;BIOTYPE=protein_coding;REF_ALLELE=T;UPLOADED_ALLELE=T/-;DISTANCE=2763;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:103199080-103199082	-	MGP_AJ_G0019246	MGP_AJ_T0032913.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Itgb3;BIOTYPE=protein_coding;INTRON=1/14;REF_ALLELE=AG;UPLOADED_ALLELE=AG/-;STRAND=1;SYMBOL_SOURCE=MGI
.	12:3981924-3981925	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=C;UPLOADED_ALLELE=C/-
.	12:32176352-32176352	A	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;UPLOADED_ALLELE=-/A
.	13:30788083-30788084	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=T;UPLOADED_ALLELE=T/-
.	15:12753296-12753296	A	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;UPLOADED_ALLELE=-/A
.	15:71667830-71667830	A	MGP_AJ_G0021886	MGP_AJ_T0041146.1	Transcript	stop_gained,frameshift_variant	3083-3084	2183-2184	728	W/*	tgg/tgAg	-	IMPACT=HIGH;SYMBOL=Adgrb1;BIOTYPE=protein_coding;EXON=12/31;UPLOADED_ALLELE=-/A;STRAND=1;SYMBOL_SOURCE=MGI
.	15:71667830-71667830	A	MGP_AJ_G0021886	MGP_AJ_T0041147.1	Transcript	stop_gained,frameshift_variant,NMD_transcript_variant	2839-2840	2183-2184	728	W/*	tgg/tgAg	-	IMPACT=HIGH;SYMBOL=Adgrb1;BIOTYPE=nonsense_mediated_decay;EXON=12/30;UPLOADED_ALLELE=-/A;STRAND=1;SYMBOL_SOURCE=MGI
.	15:71667830-71667830	A	MGP_AJ_G0021886	MGP_AJ_T0041148.1	Transcript	3_prime_UTR_variant,NMD_transcript_variant	2460-2461	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Adgrb1;BIOTYPE=nonsense_mediated_decay;EXON=12/31;UPLOADED_ALLELE=-/A;STRAND=1;SYMBOL_SOURCE=MGI
.	15:71667830-71667830	A	MGP_AJ_G0021886	MGP_AJ_T0041149.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Adgrb1;BIOTYPE=protein_coding;UPLOADED_ALLELE=-/A;DISTANCE=807;STRAND=1;SYMBOL_SOURCE=MGI
.	17:26069194-26069195	-	MGP_AJ_G0023381	MGP_AJ_T0046421.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Nudt3;BIOTYPE=protein_coding;INTRON=1/4;REF_ALLELE=G;UPLOADED_ALLELE=G/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:26069194-26069195	-	MGP_AJ_G0023381	MGP_AJ_T0046422.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Nudt3;BIOTYPE=protein_coding;INTRON=1/4;REF_ALLELE=G;UPLOADED_ALLELE=G/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:26069194-26069195	-	MGP_AJ_G0023381	MGP_AJ_T0046424.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Nudt3;BIOTYPE=protein_coding;INTRON=1/4;REF_ALLELE=G;UPLOADED_ALLELE=G/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:26069194-26069195	-	MGP_AJ_G0023381	MGP_AJ_T0046425.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Nudt3;BIOTYPE=processed_transcript;INTRON=1/4;REF_ALLELE=G;UPLOADED_ALLELE=G/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:26069194-26069195	-	MGP_AJ_G0023381	MGP_AJ_T0046426.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Nudt3;BIOTYPE=processed_transcript;INTRON=1/4;REF_ALLELE=G;UPLOADED_ALLELE=G/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	17:26069194-26069195	-	MGP_AJ_G0023381	MGP_AJ_T0046427.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Nudt3;BIOTYPE=protein_coding;INTRON=1/3;REF_ALLELE=G;UPLOADED_ALLELE=G/-;STRAND=-1;SYMBOL_SOURCE=MGI
