#Uploaded_variation	Location	Allele	Gene	Feature	Feature_type	Consequence	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	Extra
.	1:10164157-10164158	-	MGP_AJ_G0015820	MGP_AJ_T0018908.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Sulf1;BIOTYPE=protein_coding;INTRON=12/21;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=1;SYMBOL_SOURCE=MGI
.	1:10164157-10164158	-	MGP_AJ_G0015820	MGP_AJ_T0018913.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Sulf1;BIOTYPE=protein_coding;INTRON=9/19;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=1;SYMBOL_SOURCE=MGI
.	1:102056791-102056791	A	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;UPLOADED_ALLELE=-/A
.	1:165709983-165709986	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=GCC;UPLOADED_ALLELE=GCC/-
.	10:3508026-3508027	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=T;UPLOADED_ALLELE=T/-
.	10:42877908-42877909	-	MGP_AJ_G0017183	MGP_AJ_T0025118.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Popdc3;BIOTYPE=protein_coding;INTRON=2/2;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=1;SYMBOL_SOURCE=MGI
.	11:23346416-23346416	T	MGP_AJ_G0018070	MGP_AJ_T0028277.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Fancl;BIOTYPE=protein_coding;INTRON=5/13;UPLOADED_ALLELE=-/T;STRAND=1;SYMBOL_SOURCE=MGI
.	11:23346416-23346416	T	MGP_AJ_G0018070	MGP_AJ_T0028278.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Fancl;BIOTYPE=processed_transcript;INTRON=1/3;UPLOADED_ALLELE=-/T;STRAND=1;SYMBOL_SOURCE=MGI
.	11:23346416-23346416	T	MGP_AJ_G0018070	MGP_AJ_T0028279.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Fancl;BIOTYPE=protein_coding;INTRON=4/4;UPLOADED_ALLELE=-/T;STRAND=1;SYMBOL_SOURCE=MGI
.	11:23346416-23346416	T	MGP_AJ_G0018070	MGP_AJ_T0028280.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Fancl;BIOTYPE=protein_coding;INTRON=5/13;UPLOADED_ALLELE=-/T;STRAND=1;SYMBOL_SOURCE=MGI
.	11:100571809-100571810	-	MGP_AJ_G0019187	MGP_AJ_T0032599.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Mpp2;BIOTYPE=protein_coding;INTRON=10/12;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:100571809-100571810	-	MGP_AJ_G0019187	MGP_AJ_T0032600.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Mpp2;BIOTYPE=protein_coding;INTRON=9/11;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:100571809-100571810	-	MGP_AJ_G0019187	MGP_AJ_T0032601.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Mpp2;BIOTYPE=processed_transcript;REF_ALLELE=T;UPLOADED_ALLELE=T/-;DISTANCE=1025;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:100571809-100571810	-	MGP_AJ_G0019187	MGP_AJ_T0032602.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Mpp2;BIOTYPE=retained_intron;REF_ALLELE=T;UPLOADED_ALLELE=T/-;DISTANCE=3596;STRAND=-1;SYMBOL_SOURCE=MGI
.	14:28260720-28260721	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=T;UPLOADED_ALLELE=T/-
.	14:73960291-73960294	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=GCA;UPLOADED_ALLELE=GCA/-
.	15:8152292-8152292	A	MGP_AJ_G0021690	MGP_AJ_T0040587.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Adamts12;BIOTYPE=protein_coding;INTRON=5/23;UPLOADED_ALLELE=-/A;STRAND=1;SYMBOL_SOURCE=MGI
.	15:12048060-12048063	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=GGC;UPLOADED_ALLELE=GGC/-
.	16:8648945-8648949	-	MGP_AJ_G0022490	MGP_AJ_T0043174.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Shisa9;BIOTYPE=protein_coding;INTRON=2/4;REF_ALLELE=CTGT;UPLOADED_ALLELE=CTGT/-;STRAND=1;SYMBOL_SOURCE=MGI
.	16:8648945-8648949	-	MGP_AJ_G0022490	MGP_AJ_T0043175.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Shisa9;BIOTYPE=protein_coding;INTRON=2/3;REF_ALLELE=CTGT;UPLOADED_ALLELE=CTGT/-;STRAND=1;SYMBOL_SOURCE=MGI
