#Uploaded_variation	Location	Allele	Gene	Feature	Feature_type	Consequence	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	Extra
.	1:51814123-51814124	-	MGP_AJ_G0016006	MGP_AJ_T0019809.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Hecw2;BIOTYPE=protein_coding;INTRON=2/28;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	1:51814123-51814124	-	MGP_AJ_G0016006	MGP_AJ_T0019810.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Hecw2;BIOTYPE=protein_coding;INTRON=2/28;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	1:51814123-51814124	-	MGP_AJ_G0016006	MGP_AJ_T0019813.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Hecw2;BIOTYPE=protein_coding;INTRON=2/6;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	1:51814123-51814124	-	MGP_AJ_G0016006	MGP_AJ_T0019814.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Hecw2;BIOTYPE=retained_intron;INTRON=2/3;REF_ALLELE=A;UPLOADED_ALLELE=A/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	11:90410329-90410332	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=AAA;UPLOADED_ALLELE=AAA/-
.	11:97178040-97178041	-	MGP_AJ_G0019042	MGP_AJ_T0032142.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Casc3;BIOTYPE=protein_coding;INTRON=4/14;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=1;SYMBOL_SOURCE=MGI
.	11:97178040-97178041	-	MGP_AJ_G0019042	MGP_AJ_T0032143.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Casc3;BIOTYPE=protein_coding;INTRON=3/13;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=1;SYMBOL_SOURCE=MGI
.	11:97178040-97178041	-	MGP_AJ_G0019042	MGP_AJ_T0032145.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Casc3;BIOTYPE=processed_transcript;INTRON=3/5;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=1;SYMBOL_SOURCE=MGI
.	11:102632532-102632533	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=T;UPLOADED_ALLELE=T/-
.	12:72041860-72041861	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=T;UPLOADED_ALLELE=T/-
.	12:103826047-103826047	AG	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;UPLOADED_ALLELE=-/AG
.	14:47672511-47672512	-	MGP_AJ_G0021280	MGP_AJ_T0039393.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Acin1;BIOTYPE=protein_coding;INTRON=8/18;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	14:47672511-47672512	-	MGP_AJ_G0021280	MGP_AJ_T0039395.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Acin1;BIOTYPE=protein_coding;INTRON=8/18;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	14:47672511-47672512	-	MGP_AJ_G0021280	MGP_AJ_T0039398.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Acin1;BIOTYPE=protein_coding;INTRON=7/17;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	14:47672511-47672512	-	MGP_AJ_G0021280	MGP_AJ_T0039410.1	Transcript	intron_variant,non_coding_transcript_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Acin1;BIOTYPE=retained_intron;INTRON=2/2;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=-1;SYMBOL_SOURCE=MGI
.	14:47672511-47672512	-	MGP_AJ_G0021280	MGP_AJ_T0039412.1	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Acin1;BIOTYPE=retained_intron;REF_ALLELE=T;UPLOADED_ALLELE=T/-;DISTANCE=1823;STRAND=-1;SYMBOL_SOURCE=MGI
.	14:56282285-56282286	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=G;UPLOADED_ALLELE=G/-
.	14:61398368-61398369	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=C;UPLOADED_ALLELE=C/-
.	15:34070430-34070431	-	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;REF_ALLELE=T;UPLOADED_ALLELE=T/-
.	16:77558679-77558679	A	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER;UPLOADED_ALLELE=-/A
.	17:66904584-66904585	-	MGP_AJ_G0023948	MGP_AJ_T0048429.1	Transcript	intron_variant	-	-	-	-	-	-	IMPACT=MODIFIER;SYMBOL=Ptprm;BIOTYPE=protein_coding;INTRON=17/30;REF_ALLELE=T;UPLOADED_ALLELE=T/-;STRAND=-1;SYMBOL_SOURCE=MGI
